c1,c2,Z
4.5,3.0,6.7
4.5,3.25,14.3
4.5,3.5,8.1
4.5,3.75,10.0
4.5,4.0,8.8
4.5,4.25,8.0
4.5,4.5,12.7
4.5,4.75,4.4
4.75,1.0,12.3
4.75,1.25,6.0
4.75,1.5,10.4
4.75,1.75,12.3
4.75,2.0,10.1
4.75,2.25,20.8
4.75,2.5,6.7
4.75,2.75,10.6
4.75,3.0,11.2
4.75,3.25,9.0
4.75,3.5,8.3
4.75,3.75,8.2
4.75,4.0,7.9
4.75,4.25,9.3
4.75,4.5,7.0
4.75,4.75,8.6
