c1,c2,Z
4.5,3.0,10.9
4.5,3.25,12.5
4.5,3.5,16.2
4.5,3.75,10.9
4.5,4.0,11.4
4.5,4.25,20.5
4.5,4.5,13.4
4.5,4.75,12.4
4.75,1.0,26.5
4.75,1.25,17.2
4.75,1.5,19.3
4.75,1.75,16.0
4.75,2.0,19.8
4.75,2.25,16.9
4.75,2.5,16.6
4.75,2.75,15.7
4.75,3.0,16.5
4.75,3.25,12.6
4.75,3.5,11.8
4.75,3.75,17.0
4.75,4.0,18.7
4.75,4.25,13.2
4.75,4.5,9.4
4.75,4.75,17.5
